Division,Line,Station Name,Station Latitude,Station Longitude,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Entrance Type,Entry,Exit Only,Vending,Staffing,Staff Hours,ADA,ADA Notes,Free Crossover,North South Street,East West Street,Corner,Entrance Latitude,Entrance Longitude,Station Location,Entrance Location
BMT,4 Avenue,25th St,40.660397,-73.998091,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,4th Ave,25th St,SE,40.660323,-73.997952,"(40.660397, -73.998091)","(40.660323, -73.997952)"
BMT,4 Avenue,25th St,40.660397,-73.998091,R,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,4th Ave,25th St,SW,40.660489,-73.99822,"(40.660397, -73.998091)","(40.660489, -73.998220)"
BMT,4 Avenue,36th St,40.655144,-74.003549,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,36th St,NW,40.65449,-74.004499,"(40.655144, -74.003549)","(40.654490, -74.004499)"
BMT,4 Avenue,36th St,40.655144,-74.003549,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,36th St,NE,40.654365,-74.004113,"(40.655144, -74.003549)","(40.654365, -74.004113)"
BMT,4 Avenue,36th St,40.655144,-74.003549,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,36th St,NW,40.654676,-74.004306,"(40.655144, -74.003549)","(40.654676, -74.004306)"
BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,45th St,NE,40.649389,-74.009333,"(40.648939, -74.010006)","(40.649389, -74.009333)"
BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,45th St,NW,40.649424,-74.009728,"(40.648939, -74.010006)","(40.649424, -74.009728)"
BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,45th St,NE,40.649265,-74.009457,"(40.648939, -74.010006)","(40.649265, -74.009457)"
BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,45th St,NW,40.649546,-74.009602,"(40.648939, -74.010006)","(40.649546, -74.009602)"
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SW,40.644653,-74.01469,"(40.645069, -74.014034)","(40.644653, -74.014690)"
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SE,40.644493,-74.014419,"(40.645069, -74.014034)","(40.644493, -74.014419)"
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SW,40.644756,-74.014586,"(40.645069, -74.014034)","(40.644756, -74.014586)"
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SE,40.644601,-74.014309,"(40.645069, -74.014034)","(40.644601, -74.014309)"
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,NO,Yes,NO,NONE,,FALSE,,TRUE,4th Ave,52nd St,NW,40.645619,-74.013688,"(40.645069, -74.014034)","(40.645619, -74.013688)"
BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NW,40.641606,-74.017897,"(40.641362, -74.017881)","(40.641606, -74.017897)"
BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NE,40.641435,-74.017561,"(40.641362, -74.017881)","(40.641435, -74.017561)"
BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NW,40.641778,-74.017722,"(40.641362, -74.017881)","(40.641778, -74.017722)"
BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NE,40.641633,-74.017362,"(40.641362, -74.017881)","(40.641633, -74.017362)"
BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,60th St,SW,40.640682,-74.018857,"(40.641362, -74.017881)","(40.640682, -74.018857)"
BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,60th St,SE,40.640501,-74.018531,"(40.641362, -74.017881)","(40.640501, -74.018531)"
BMT,4 Avenue,77th St,40.629742,-74.02551,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,77th St,NW,40.62955,-74.025731,"(40.629742, -74.02551)","(40.629550, -74.025731)"
BMT,4 Avenue,77th St,40.629742,-74.02551,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,77th St,NE,40.629503,-74.025452,"(40.629742, -74.02551)","(40.629503, -74.025452)"
BMT,4 Avenue,77th St,40.629742,-74.02551,R,,,,,,,,,,,Stair,NO,Yes,NO,NONE,,FALSE,,TRUE,4th Ave,76th St,NW,40.630221,-74.025459,"(40.629742, -74.02551)","(40.630221, -74.025459)"
BMT,4 Avenue,86th St,40.622687,-74.028398,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,86th St,SW,40.622656,-74.028547,"(40.622687, -74.028398)","(40.622656, -74.028547)"
BMT,4 Avenue,86th St,40.622687,-74.028398,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,86th St,SE,40.622583,-74.028315,"(40.622687, -74.028398)","(40.622583, -74.028315)"
BMT,4 Avenue,86th St,40.622687,-74.028398,R,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,85th St,SW,40.623498,-74.028204,"(40.622687, -74.028398)","(40.623498, -74.028204)"
BMT,4 Avenue,95th St,40.616622,-74.030876,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,95th St,SW,40.616021,-74.031383,"(40.616622, -74.030876)","(40.616021, -74.031383)"
BMT,4 Avenue,95th St,40.616622,-74.030876,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,5th Ave,95th St,NE,40.615893,-74.03086,"(40.616622, -74.030876)","(40.615893, -74.030860)"
BMT,4 Avenue,95th St,40.616622,-74.030876,R,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,95th St,NW,40.616189,-74.031234,"(40.616622, -74.030876)","(40.616189, -74.031234)"
BMT,4 Avenue,95th St,40.616622,-74.030876,R,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,93th St,SW,40.617587,-74.030696,"(40.616622, -74.030876)","(40.617587, -74.030696)"
